,GAME_ID,GAME_DATE,HOME_SCORE,AWAY_SCORE,HOME_TEAM_ID,AWAY_TEAM_ID
335,0022000360,2021-02-06,134,132,1610612742,1610612744
336,0022000352,2021-02-06,114,119,1610612743,1610612758
337,0022000359,2021-02-06,118,120,1610612750,1610612760
338,0022000355,2021-02-06,118,109,1610612740,1610612763
339,0022000364,2021-02-07,109,103,1610612748,1610612752
340,0022000365,2021-02-07,91,100,1610612738,1610612756
341,0022000366,2021-02-07,113,110,1610612758,1610612746
342,0022000363,2021-02-07,103,95,1610612762,1610612754
343,0022000215,2021-02-07,97,119,1610612764,1610612766
344,0022000371,2021-02-08,100,105,1610612744,1610612759
345,0022000374,2021-02-08,112,119,1610612760,1610612747
346,0022000368,2021-02-08,101,105,1610612741,1610612764
347,0022000372,2021-02-08,119,113,1610612756,1610612739
348,0022000370,2021-02-08,122,127,1610612750,1610612742
349,0022000373,2021-02-08,125,112,1610612749,1610612743
350,0022000367,2021-02-08,94,119,1610612745,1610612766
351,0022000369,2021-02-08,113,128,1610612763,1610612761
352,0022000378,2021-02-09,114,91,1610612744,1610612759
353,0022000376,2021-02-09,98,96,1610612748,1610612752
354,0022000375,2021-02-09,122,111,1610612765,1610612751
355,0022000380,2021-02-09,97,106,1610612753,1610612757
356,0022000379,2021-02-09,108,122,1610612738,1610612762
357,0022000381,2021-02-09,119,111,1610612755,1610612758
358,0022000377,2021-02-09,130,101,1610612740,1610612745
359,0022000390,2021-02-10,114,113,1610612747,1610612760
360,0022000385,2021-02-10,116,129,1610612740,1610612741
361,0022000389,2021-02-10,125,124,1610612756,1610612749
362,0022000383,2021-02-10,104,94,1610612751,1610612754
363,0022000384,2021-02-10,117,118,1610612737,1610612742
364,0022000388,2021-02-10,133,95,1610612743,1610612739
365,0022000387,2021-02-10,112,119,1610612750,1610612746
366,0022000382,2021-02-10,115,137,1610612764,1610612761
367,0022000386,2021-02-10,130,114,1610612763,1610612766
368,0022000393,2021-02-11,105,111,1610612753,1610612744
369,0022000398,2021-02-11,106,120,1610612761,1610612738
370,0022000392,2021-02-11,94,101,1610612745,1610612748
371,0022000391,2021-02-11,95,111,1610612765,1610612754
372,0022000394,2021-02-11,114,118,1610612755,1610612757
373,0022000403,2021-02-12,105,115,1610612763,1610612747
374,0022000400,2021-02-12,125,106,1610612746,1610612741
375,0022000412,2021-02-12,102,108,1610612738,1610612765
376,0022000404,2021-02-12,110,129,1610612739,1610612757
377,0022000402,2021-02-12,115,129,1610612749,1610612762
378,0022000397,2021-02-12,114,125,1610612737,1610612759
379,0022000399,2021-02-12,130,143,1610612740,1610612742
380,0022000405,2021-02-12,112,123,1610612758,1610612753
381,0022000401,2021-02-12,97,95,1610612743,1610612760
382,0022000395,2021-02-12,114,120,1610612750,1610612766
383,0022000396,2021-02-12,91,109,1610612764,1610612752
384,0022000409,2021-02-13,117,134,1610612744,1610612751
385,0022000408,2021-02-13,121,99,1610612752,1610612745
386,0022000406,2021-02-13,120,111,1610612756,1610612755
387,0022000410,2021-02-13,94,112,1610612748,1610612762
388,0022000407,2021-02-13,125,113,1610612754,1610612737
389,0022000417,2021-02-14,109,90,1610612756,1610612753
390,0022000419,2021-02-14,111,128,1610612739,1610612746
391,0022000561,2021-02-14,112,123,1610612740,1610612765
392,0022000411,2021-02-14,118,121,1610612742,1610612757
393,0022000418,2021-02-14,124,110,1610612763,1610612758
394,0022000416,2021-02-14,105,122,1610612747,1610612743
395,0022000414,2021-02-14,122,110,1610612759,1610612766
396,0022000560,2021-02-14,91,104,1610612738,1610612764
