,TeamID,SEASON,LeagueID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,NICKNAME,HOW_ACQUIRED
15,1610612747,2022,00,Matt Ryan,matt-ryan,37,F,6-6,215,"APR 17, 1997",25.0,1,Tennessee-Chattanooga,1630346,Matt,Signed on 09/26/22
16,1610612747,2022,00,Juan Toscano-Anderson,juan-toscano-anderson,95,F,6-6,209,"APR 10, 1993",29.0,3,Marquette,1629308,Juan,Signed on 07/01/22
0,1610612748,2022,00,Gabe Vincent,gabe-vincent,2,G,6-2,200,"JUN 14, 1996",26.0,3,California-Santa Barbara,1629216,Gabe,Signed on 01/08/20
1,1610612748,2022,00,Victor Oladipo,victor-oladipo,4,G,6-3,213,"MAY 04, 1992",30.0,9,Indiana,203506,Victor,Traded from HOU on 03/25/21
2,1610612748,2022,00,Nikola Jovic,nikola-jovic,5,F,6-10,205,"JUN 09, 2003",19.0,R,                                   ,1631107,Nikola,#27 Pick in 2022 Draft
3,1610612748,2022,00,Kyle Lowry,kyle-lowry,7,G,6-0,196,"MAR 25, 1986",36.0,16,Villanova,200768,Kyle,Traded from TOR on 08/06/21
4,1610612748,2022,00,Jamal Cain,jamal-cain,8,F,6-6,191,"MAR 20, 1999",23.0,R,Oakland,1631288,Jamal,Signed on 07/15/22
5,1610612748,2022,00,Dru Smith,dru-smith,9,G,6-3,203,"DEC 30, 1997",24.0,R,Missouri,1630696,Dru,Signed on 09/10/21
6,1610612748,2022,00,Bam Adebayo,bam-adebayo,13,C-F,6-9,255,"JUL 18, 1997",25.0,5,Kentucky,1628389,Bam,#14 Pick in 2017 Draft
7,1610612748,2022,00,Tyler Herro,tyler-herro,14,G,6-5,195,"JAN 20, 2000",22.0,3,Kentucky,1629639,Tyler,#13 Pick in 2019 Draft
8,1610612748,2022,00,Caleb Martin,caleb-martin,16,F,6-5,205,"SEP 28, 1995",27.0,3,Nevada,1628997,Caleb,Signed on 09/14/21
9,1610612748,2022,00,Dewayne Dedmon,dewayne-dedmon,21,C,6-10,245,"AUG 12, 1989",33.0,9,Southern California,203473,Dewayne,Signed on 04/08/21
10,1610612748,2022,00,Jimmy Butler,jimmy-butler,22,F,6-7,230,"SEP 14, 1989",33.0,11,Marquette,202710,Jimmy,Traded from PHI on 07/06/19
11,1610612748,2022,00,Haywood Highsmith,haywood-highsmith,24,F,6-5,220,"DEC 09, 1996",25.0,2,Wheeling Jesuit,1629312,Haywood,Signed on 12/30/21
12,1610612748,2022,00,Max Strus,max-strus,31,G-F,6-5,215,"MAR 28, 1996",26.0,3,DePaul,1629622,Max,Signed on 11/30/20
13,1610612748,2022,00,Udonis Haslem,udonis-haslem,40,F,6-7,235,"JUN 09, 1980",42.0,19,Florida,2617,Udonis,Signed on 08/01/03
